Price,Address,Beds,Baths,Sqft,URL
$629999,3837 Amber Flower Ct Las Vegas NV 89147,5,3,2578,https://www.redfin.com/NV/Las-Vegas/3837-Amber-Flower-Ct-89147/home/29550177
N/A,N/A,N/A,N/A,N/A,N/A
$649000,5845 Farmhouse Ct Las Vegas NV 89141,5,3,3096,https://www.redfin.com/NV/Las-Vegas/5845-Farmhouse-Ct-89141/home/29909776
$525000,9406 Back Bay Cir Las Vegas NV 89123,5,3,2386,https://www.redfin.com/NV/Las-Vegas/9406-Back-Bay-Cir-89123/home/28992665
$879000,8073 Mackenzie Ct Las Vegas NV 89129,5,3.5,3494,https://www.redfin.com/NV/Las-Vegas/8073-Mackenzie-Ct-89129/home/29120002
$934900,10342 Kesington Dr Las Vegas NV 89135,5,4.5,3105,https://www.redfin.com/NV/Las-Vegas/10342-Kesington-Dr-89135/home/143191437
$629900,8413 Starstruck Ave Las Vegas NV 89143,5,3,3030,https://www.redfin.com/NV/Las-Vegas/8413-Starstruck-Ave-89143/home/29854018
$519999,8301 Spring Arts Ave Las Vegas NV 89129,5,3,2911,https://www.redfin.com/NV/Las-Vegas/8301-Spring-Arts-Ave-89129/home/29126422
$528094,10186 Crimson Crown St Las Vegas NV 89141,5,3,2469,https://www.redfin.com/NV/Las-Vegas/10186-Crimson-Crown-St-89141/home/183051245
$589900,6504 N Tee Pee Ln Las Vegas NV 89149,5,3.5,3238,https://www.redfin.com/NV/Las-Vegas/6504-N-Tee-Pee-Ln-89149/home/29792610
$492299,9910 Alpine Style Dr Las Vegas NV 89166,5,3.5,2469,https://www.redfin.com/NV/Las-Vegas/9910-Alpine-Style-Dr-89166/home/183995378
N/A,N/A,N/A,N/A,N/A,N/A
$908000,8514 Alpine Vineyards Ct Las Vegas NV 89139,5,3.5,4522,https://www.redfin.com/NV/Las-Vegas/8514-Alpine-Vineyards-Ct-89139/home/145871910
$640000,8843 Pauley Hills St Las Vegas NV 89131,5,4,3061,https://www.redfin.com/NV/Las-Vegas/8843-Pauley-Hills-St-89131/home/143189656
$709950,10411 Mangakino St Las Vegas NV 89183,5,4.5,3270,https://www.redfin.com/NV/Las-Vegas/10411-Mangakino-St-89183/home/179107393
$709950,10419 Mangakino St Las Vegas NV 89183,5,4.5,3270,https://www.redfin.com/NV/Las-Vegas/10419-Mangakino-St-89183/home/179107392
$809990,533 Sinfold Park St Las Vegas NV 89148,5,3.5,3699,https://www.redfin.com/NV/Las-Vegas/533-Sinfold-Park-St-89148/home/29900547
$656000,8332 Fritzen Ave Las Vegas NV 89131,5,3.5,3098,https://www.redfin.com/NV/Las-Vegas/8332-Fritzen-Ave-89131/home/29844646
$924900,6145 Misty Brook Ct Las Vegas NV 89149,5,4,3587,https://www.redfin.com/NV/Las-Vegas/6145-Misty-Brook-Ct-89149/home/29096787
$888132,5350 Purple Moon Ave Las Vegas NV 89141,5,4.5,4552,https://www.redfin.com/NV/Las-Vegas/5350-Purple-Moon-Ave-89141/home/175526897
$659950,66 Piropiro Ave Las Vegas NV 89183,5,3,3000,https://www.redfin.com/NV/Las-Vegas/66-Piropiro-Ave-89183/home/179107382
$599900,5704 Sligo St Las Vegas NV 89130,5,4.5,3352,https://www.redfin.com/NV/Las-Vegas/5704-Sligo-St-89130/home/29094334
$440000,1044 King Richard Ave Las Vegas NV 89119,5,2.5,2673,https://www.redfin.com/NV/Las-Vegas/1044-King-Richard-Ave-89119/home/29516311
$984900,12217 Nasino Ave Las Vegas NV 89138,5,4.5,3584,https://www.redfin.com/NV/Las-Vegas/12217-Nasino-Ave-89138/home/109632662
$725000,172 Turtle Ridge Ave Las Vegas NV 89183,5,3,2608,https://www.redfin.com/NV/Las-Vegas/172-Turtle-Ridge-Ave-89183/home/40234081
$330000,255 S 17th St Las Vegas NV 89101,5,2,1669,https://www.redfin.com/NV/Las-Vegas/255-S-17th-St-89101/home/29349114
$975000,1525 Red Rock St Las Vegas NV 89146,5,3.5,4166,https://www.redfin.com/NV/Las-Vegas/1525-Red-Rock-St-89146/home/29516710
$597500,3370 Arcata Point Ave Las Vegas NV 89141,5,3,3134,https://www.redfin.com/NV/Las-Vegas/3370-Arcata-Point-Ave-89141/home/29006291
$474000,6570 Viewpoint Dr Las Vegas NV 89156,5,3.5,3736,https://www.redfin.com/NV/Las-Vegas/6570-Viewpoint-Dr-89156/home/29372600
$980000,8030 Noble Ridge St Las Vegas NV 89139,5,3.5,4051,https://www.redfin.com/NV/Las-Vegas/8030-Noble-Ridge-St-89139/home/165938082
N/A,N/A,N/A,N/A,N/A,N/A
$694925,5408 Scandia Lore Ct Las Vegas NV 89130,5,3.5,3491,https://www.redfin.com/NV/Las-Vegas/5408-Scandia-Lore-Ct-89130/home/185789427
$680000,7074 W Camero Ave Las Vegas NV 89113,5,4.5,2988,https://www.redfin.com/NV/Las-Vegas/7074-W-Camero-Ave-89113/home/173633344
$599000,2640 Crystal Quartz St Las Vegas NV 89146,5,3,3113,https://www.redfin.com/NV/Las-Vegas/2640-Crystal-Quartz-St-89146/home/167096543
$985000,6244 Mighty Flotilla Ave Las Vegas NV 89139,5,4.5,5160,https://www.redfin.com/NV/Las-Vegas/6244-Mighty-Flotilla-Ave-89139/home/29035657
$675000,9789 Panther Hollow St Las Vegas NV 89141,5,3.5,3971,https://www.redfin.com/NV/Las-Vegas/9789-Panther-Hollow-St-89141/home/109626746
$689825,5404 Scandia Lore Ct Las Vegas NV 89130,5,3.5,3491,https://www.redfin.com/NV/Las-Vegas/5404-Scandia-Lore-Ct-89130/home/185789426
